ParName   Value   Gradient
SR_parm[1]      10.1481  3.13769e-05
recdev1(1975)     0.185709  -8.5015e-07
recdev1(1976)     0.177048 -8.27454e-07
recdev1(1977)    -0.505491 -9.40433e-07
recdev1(1978)     0.143628 -6.83586e-07
recdev1(1979)    -0.123296 -6.93448e-07
recdev1(1980)     0.173368 -4.53966e-07
recdev1(1981)    -0.508826 -7.01894e-07
recdev1(1982)    -0.770378 -7.42694e-07
recdev1(1983)   -0.0942368 -2.75539e-07
recdev1(1984)     0.158825  2.35171e-07
recdev1(1985)    0.0885363  2.07369e-07
recdev1(1986)    -0.811427 -4.95178e-07
recdev1(1987)    -0.432252 -9.03003e-08
recdev1(1988)     0.373009  1.20334e-06
recdev1(1989)   -0.0241037  5.14267e-07
recdev1(1990)     0.109628  8.01362e-07
recdev1(1991)    -0.374636  8.88897e-08
recdev1(1992)   0.00585957  7.67318e-07
recdev1(1993)    0.0236198  9.87428e-07
recdev1(1994)    0.0171981  1.07873e-06
recdev1(1995)    -0.234936  6.48361e-07
recdev1(1996)    -0.137343  8.64374e-07
recdev1(1997)    -0.190982  7.77954e-07
recdev1(1998)     0.261613  1.77488e-06
recdev1(1999)     0.207192  1.55193e-06
recdev1(2000)    -0.146975  5.32234e-07
recdev1(2001)    0.0404107  7.05739e-07
recdev1(2002)    -0.488767 -1.00211e-07
recdev1(2003)    0.0388737  4.02204e-07
recdev1(2004)    -0.128892  9.28289e-08
recdev1(2005)    0.0491381 -5.74967e-09
recdev1(2006)     0.138627 -1.27726e-07
recdev1(2007)      0.26022 -3.12402e-07
recdev1(2008)     0.590579 -1.59792e-07
recdev1(2009)    0.0665382 -8.06671e-07
recdev1(2010)     0.454168 -5.86486e-07
recdev1(2011)      0.22829 -8.69833e-07
recdev1(2012)     0.130093 -8.18491e-07
recdev1(2013)     0.529982 -7.56225e-07
recdev1(2014)    0.0522793  -9.1479e-07
recdev1(2015)     0.468107 -9.79036e-07
Fcast_recruitments(2016)    0.0328297  5.12654e-09
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      77.0021 -1.13185e-08
selparm[2]      -1.9637 -1.03087e-07
selparm[3]    -0.689724  1.94602e-08
selparm[4]      1.75858  1.82352e-07
selparm[7]      73.6693  6.05772e-07
selparm[9]      2.89221 -1.26364e-07
selparm[10]    -0.888489 -7.83026e-09
selparm[12]     -3.98227  6.14863e-08
selparm[13]       62.647  5.03001e-07
selparm[15]      3.27998 -1.06127e-07
selparm[16]      4.19285  1.20256e-08
selparm[19]      101.133  1.05476e-08
selparm[20]     -2.61662 -1.87517e-07
selparm[21]      4.67989 -1.67275e-07
