ParName   Value   Gradient
SR_parm[1]      9.49631  3.96597e-06
recdev1(1975)    -0.102236 -2.15304e-07
recdev1(1976)    -0.320484  5.14352e-08
recdev1(1977)    0.0353412  7.51728e-07
recdev1(1978)    -0.324082  6.15097e-07
recdev1(1979)     0.123616  7.94109e-07
recdev1(1980)     -0.22205  8.55305e-08
recdev1(1981)    0.0997838  3.30846e-07
recdev1(1982)    -0.148459  2.30403e-07
recdev1(1983)     0.117406 -1.71779e-06
recdev1(1984)   -0.0689286 -2.11121e-06
recdev1(1985)     0.451459 -5.47928e-06
recdev1(1986)    -0.158988 -3.87317e-07
recdev1(1987)   -0.0971739  -2.0795e-06
recdev1(1988)     0.201423 -8.28127e-06
recdev1(1989)     0.040626 -1.56691e-05
recdev1(1990)    -0.251067 -4.95515e-06
recdev1(1991)    -0.326144    -3.34e-06
recdev1(1992)    0.0378109 -1.38286e-06
recdev1(1993)    -0.259152 -5.84406e-07
recdev1(1994)    0.0463612 -2.75597e-06
recdev1(1995)   -0.0312048 -1.62687e-06
recdev1(1996)   -0.0226016  7.34044e-07
recdev1(1997)    -0.109259  1.24712e-05
recdev1(1998)     0.183133 -7.28203e-07
recdev1(1999)     0.172922   2.2871e-06
recdev1(2000)   -0.0822024 -3.54826e-06
recdev1(2001)    0.0767946  4.20885e-06
recdev1(2002)   -0.0290688   1.8687e-06
recdev1(2003)   -0.0604055   4.0495e-06
recdev1(2004)    -0.018664 -1.34258e-06
recdev1(2005)    0.0495541  3.01672e-06
recdev1(2006)      0.31911  9.26311e-06
recdev1(2007)    -0.144317  5.21087e-06
recdev1(2008)     0.230795 -2.41971e-06
recdev1(2009)     0.287075  -1.4389e-06
recdev1(2010)    -0.114738  6.15912e-06
recdev1(2011)     0.385417  4.24905e-06
recdev1(2012)     0.110185  4.68419e-06
recdev1(2013)    -0.065605 -4.43173e-07
recdev1(2014)   -0.0119825 -5.47036e-07
Fcast_recruitments(2015)            0 -1.79916e-09
Fcast_recruitments(2016)            0 -4.07555e-11
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      73.0783 -6.79054e-06
selparm[2]     -1.97411 -3.24629e-08
selparm[3]    -0.444468 -1.08374e-07
selparm[4]      2.44424 -1.19866e-07
selparm[7]      75.9701  2.79651e-05
selparm[9]     -0.99945  3.77164e-07
selparm[10]    -0.999457 -5.95927e-08
selparm[12]     -11.6175  5.90103e-07
selparm[13]       62.183 -2.58615e-06
selparm[15]    -0.940417  8.56817e-07
selparm[16]      2.35537 -1.43061e-06
selparm[19]       52.854 -1.74079e-07
selparm[20]     -3.09896 -3.70401e-08
selparm[21]      4.38995  2.58578e-09
