ParName   Value   Gradient
SR_parm[1]      9.62147   3.9184e-05
recdev1(1975)   -0.0767202 -7.89529e-06
recdev1(1976)   -0.0789633  5.86425e-05
recdev1(1977)   -0.0738195 -2.02381e-06
recdev1(1978)      0.27023  2.09104e-06
recdev1(1979)    -0.190792 -2.52712e-05
recdev1(1980)     0.337977  1.08849e-05
recdev1(1981)    -0.153149  2.72316e-05
recdev1(1982)     0.279155  -9.8749e-06
recdev1(1983)   -0.0010866  3.17445e-05
recdev1(1984)     0.271586 -1.39455e-05
recdev1(1985)     0.327568  1.72815e-05
recdev1(1986)    -0.115819  1.33831e-06
recdev1(1987)    -0.248824 -4.63079e-05
recdev1(1988)    0.0358746  3.32754e-05
recdev1(1989)   -0.0757079 -1.62035e-05
recdev1(1990)    -0.113284 -9.14841e-08
recdev1(1991)    -0.147576  3.59679e-05
recdev1(1992)    -0.235536 -3.54096e-05
recdev1(1993)     0.246763  1.84031e-05
recdev1(1994)    -0.217067  1.47914e-06
recdev1(1995)     0.145762  -1.3156e-05
recdev1(1996)    0.0418693   2.9377e-05
recdev1(1997)    -0.142039 -2.65672e-05
recdev1(1998)    -0.149339 -1.01394e-05
recdev1(1999)     0.334405  2.05059e-05
recdev1(2000)     0.172731  -1.2992e-05
recdev1(2001)    -0.228381 -1.78338e-05
recdev1(2002)     0.155645  3.41346e-05
recdev1(2003)    -0.128526 -5.33502e-05
recdev1(2004)    -0.135083  1.20634e-05
recdev1(2005)   -0.0539525   2.0317e-05
recdev1(2006)    0.0501591 -2.60096e-05
recdev1(2007)      0.31607  1.93154e-05
recdev1(2008)    -0.449571 -3.32817e-05
recdev1(2009)     0.183996   1.0028e-06
recdev1(2010)     0.236066 -3.68537e-06
recdev1(2011)    -0.306818  2.98094e-06
recdev1(2012)     0.466936 -3.96637e-06
recdev1(2013)    -0.314673  1.79623e-06
recdev1(2014)   -0.0363518 -1.10214e-05
recdev1(2015)    -0.199715 -1.21099e-05
Fcast_recruitments(2016)    0.0697974 -1.47246e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      98.0724  2.64102e-05
selparm[2]    -0.319481 -7.43946e-05
selparm[3]      6.48906 -3.39935e-05
selparm[4]      4.17066 -1.23657e-06
selparm[7]      61.5601 -2.64975e-05
selparm[9]      1.71671 -7.20711e-06
selparm[10]      5.75585  5.07002e-05
selparm[12]     -2.17024  2.81116e-05
selparm[13]      62.4383  -8.7878e-06
selparm[15]        3.392  1.13562e-05
selparm[16]      4.09642  2.10856e-05
selparm[19]      96.8686 -2.83967e-06
selparm[20]     -5.73394  2.98541e-05
selparm[21]      4.45699  -1.9252e-06
