ParName   Value   Gradient
SR_parm[1]      9.87205 -2.27909e-05
recdev1(1975)     0.296052  9.72752e-07
recdev1(1976)     0.322912  9.88627e-07
recdev1(1977)     0.459628  1.03543e-06
recdev1(1978)     0.638524  1.05124e-06
recdev1(1979)     0.249187  8.62559e-07
recdev1(1980)     0.113685  8.21532e-07
recdev1(1981)    0.0641567   8.7683e-07
recdev1(1982)    -0.115472  7.15076e-07
recdev1(1983)    0.0331233  7.34104e-07
recdev1(1984)     0.347135  6.37747e-07
recdev1(1985)     0.192346  5.13648e-07
recdev1(1986)    -0.315315  6.02542e-07
recdev1(1987)    -0.277007  5.33006e-07
recdev1(1988)     0.354782  4.84051e-08
recdev1(1989)    0.0242988  2.92107e-07
recdev1(1990)    -0.624771  5.03959e-07
recdev1(1991)     0.380166 -4.83367e-08
recdev1(1992)    -0.240469  2.22963e-07
recdev1(1993)     0.279751 -2.70497e-07
recdev1(1994)   -0.0344688 -5.87402e-08
recdev1(1995)    -0.298744   2.9791e-08
recdev1(1996)     0.154181 -4.88244e-07
recdev1(1997)    -0.258488 -4.82976e-08
recdev1(1998)     0.107896 -7.70655e-07
recdev1(1999)     0.107858 -9.99314e-07
recdev1(2000)     0.208966 -1.16969e-06
recdev1(2001)    -0.395802 -2.38963e-07
recdev1(2002)    -0.534419 -2.93474e-07
recdev1(2003)     -0.32903 -5.10125e-07
recdev1(2004)    -0.111225 -8.98881e-07
recdev1(2005)    -0.256009 -5.23343e-07
recdev1(2006)     0.144233 -1.41403e-06
recdev1(2007)   -0.0302933 -6.86222e-07
recdev1(2008)     0.279691 -1.43642e-06
recdev1(2009)    -0.180479 -2.98978e-07
recdev1(2010)    -0.137955 -3.17934e-07
recdev1(2011)     0.183522  -6.1516e-07
recdev1(2012)     0.117864 -6.07329e-07
recdev1(2013)     0.101845 -6.47381e-07
recdev1(2014)    -0.522628  4.07485e-07
recdev1(2015)    -0.499225  6.82435e-07
Fcast_recruitments(2016)     -0.97077 -6.68727e-08
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      96.1101 -1.95287e-07
selparm[2]   0.00215488 -5.27166e-09
selparm[3]      6.40572   3.9114e-07
selparm[4]      4.14325  3.01785e-07
selparm[7]      75.3993 -1.10428e-06
selparm[9]       5.4441  5.18636e-07
selparm[10]      3.94514 -7.19174e-08
selparm[12]     -1.60347 -8.20017e-07
selparm[13]      61.8625 -3.43223e-07
selparm[15]       3.6023  6.27898e-08
selparm[16]      4.12664  4.96557e-08
selparm[19]       96.289 -7.48872e-07
selparm[20]     -7.09726  2.63696e-08
selparm[21]      4.40516  3.91411e-07
