ParName   Value   Gradient
SR_parm[1]      10.1538 -6.97852e-05
recdev1(1975)     0.271499  -7.5243e-07
recdev1(1976)     0.434118  4.86492e-06
recdev1(1977)     0.890369  1.32813e-05
recdev1(1978)      1.09298  9.23821e-06
recdev1(1979)     0.621654  3.95812e-06
recdev1(1980)     0.729078  9.68034e-06
recdev1(1981)     0.610076  5.17031e-06
recdev1(1982)     0.635442  5.86125e-06
recdev1(1983)     0.614891  5.81354e-06
recdev1(1984)     0.793161  7.22268e-06
recdev1(1985)     0.515648  3.61164e-06
recdev1(1986)    0.0514592  3.61882e-06
recdev1(1987)   -0.0673451  4.10455e-06
recdev1(1988)     0.308945  4.59899e-06
recdev1(1989)   -0.0123736  2.39954e-06
recdev1(1990)    -0.353297  6.42621e-06
recdev1(1991)     0.227749  5.47413e-06
recdev1(1992)    -0.185257  5.80797e-06
recdev1(1993)     0.246825  4.35986e-06
recdev1(1994)    -0.063749  3.51023e-06
recdev1(1995)    -0.107292  1.57377e-06
recdev1(1996)    0.0477615  2.25723e-06
recdev1(1997)    -0.382269  1.46285e-06
recdev1(1998)    -0.104975   9.0842e-07
recdev1(1999)    0.0187011 -3.02825e-06
recdev1(2000)   -0.0466274 -2.97986e-06
recdev1(2001)    -0.405862  -9.9743e-07
recdev1(2002)    -0.315454 -1.27452e-06
recdev1(2003)    -0.444321  -4.8453e-07
recdev1(2004)     -0.41162  -3.9369e-06
recdev1(2005)    -0.450205 -7.32306e-06
recdev1(2006)    -0.184555 -1.08356e-05
recdev1(2007)    -0.363247 -5.87084e-06
recdev1(2008)    -0.570912 -7.59115e-06
recdev1(2009)    -0.362664 -9.75319e-06
recdev1(2010)    -0.417018 -1.01951e-05
recdev1(2011)     -0.48759  -3.9661e-06
recdev1(2012)    -0.220454 -1.87158e-05
recdev1(2013)    -0.563373 -1.26296e-05
recdev1(2014)    -0.828056 -1.15025e-05
recdev1(2015)    -0.761842 -3.60903e-06
Fcast_recruitments(2016)    -0.600832  3.36718e-05
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      108.447  2.91032e-05
selparm[2]    -0.939275 -2.34474e-07
selparm[3]      6.81587 -2.86724e-05
selparm[4]      4.13704  6.22901e-06
selparm[7]      75.0829 -2.10336e-05
selparm[9]      5.21264  5.76719e-06
selparm[10]      3.90782  2.33135e-06
selparm[12]     -1.01488 -6.31373e-06
selparm[13]      61.9131  3.16992e-06
selparm[15]      3.52848  5.25539e-07
selparm[16]       4.0718 -1.87729e-07
selparm[19]      98.0659 -3.16527e-05
selparm[20]     -7.12129 -1.81613e-06
selparm[21]       4.5165  1.34295e-05
