ParName   Value   Gradient
SR_parm[1]      10.2514 -3.12676e-06
recdev1(1975)    -0.451528  8.44598e-07
recdev1(1976)    -0.228328 -8.18412e-07
recdev1(1977)     0.125163  2.33022e-06
recdev1(1978)     0.490714  3.12924e-06
recdev1(1979)    0.0993292 -7.38154e-06
recdev1(1980)      0.24434 -1.08739e-07
recdev1(1981)     0.162854  1.18721e-05
recdev1(1982)     0.236784  -1.3193e-05
recdev1(1983)     0.240406  4.65275e-06
recdev1(1984)     0.500318  -3.7566e-06
recdev1(1985)     0.317325  1.48927e-05
recdev1(1986)    -0.149453 -1.08619e-05
recdev1(1987)    -0.294925 -5.24625e-06
recdev1(1988)     0.214706   1.3829e-05
recdev1(1989)   -0.0814976 -8.39722e-06
recdev1(1990)    -0.581805  1.23657e-05
recdev1(1991)     0.202165  1.01654e-06
recdev1(1992)    -0.308805 -2.87689e-06
recdev1(1993)     0.283508  1.63277e-06
recdev1(1994)   -0.0477297 -6.64837e-06
recdev1(1995)   -0.0464202  3.20526e-06
recdev1(1996)     0.194882  2.07327e-06
recdev1(1997)    -0.330363 -1.35093e-05
recdev1(1998)    0.0690253  6.72897e-06
recdev1(1999)     0.219754 -4.24458e-06
recdev1(2000)     0.221765  2.86177e-06
recdev1(2001)    -0.256636 -4.09868e-06
recdev1(2002)    0.0218747 -2.74243e-06
recdev1(2003)    -0.194329  8.71602e-06
recdev1(2004)   -0.0623176 -4.43114e-06
recdev1(2005)    -0.167363   4.0348e-06
recdev1(2006)     0.241673 -1.93248e-06
recdev1(2007)    0.0192017  1.48004e-06
recdev1(2008)    -0.299614 -1.92758e-06
recdev1(2009)    0.0902344  -1.3803e-06
recdev1(2010)   -0.0188725 -2.49131e-06
recdev1(2011)   -0.0789947 -2.71121e-07
recdev1(2012)     0.289245 -3.73312e-06
recdev1(2013)    -0.119075 -1.40759e-06
recdev1(2014)    -0.491832  5.60224e-07
recdev1(2015)    -0.275377  9.85445e-08
Fcast_recruitments(2016)    -0.307388  9.13398e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      112.683 -2.23423e-06
selparm[2]     -1.70562 -2.86613e-06
selparm[3]      6.91176  3.54112e-06
selparm[4]      4.19459  1.83147e-05
selparm[7]      75.5642 -1.06999e-05
selparm[9]      5.24323  9.35209e-06
selparm[10]      3.83212 -3.08133e-08
selparm[12]    -0.929692  -3.1122e-06
selparm[13]       61.963  6.79447e-06
selparm[15]      3.58752 -2.83544e-06
selparm[16]      4.12429  1.63231e-06
selparm[19]      98.7696  8.84717e-06
selparm[20]      -7.0602  4.40002e-06
selparm[21]       4.5721  1.75478e-06
