ParName   Value   Gradient
SR_parm[1]      9.42989   0.00017375
recdev1(1975)     0.126281 -4.59371e-06
recdev1(1976)        0.149 -4.47662e-06
recdev1(1977)    -0.104318 -4.49839e-06
recdev1(1978)   0.00805834 -4.30938e-06
recdev1(1979)    -0.105134 -4.24612e-06
recdev1(1980)   -0.0397797 -3.93458e-06
recdev1(1981)    -0.284301 -4.04641e-06
recdev1(1982)    -0.429702 -3.99349e-06
recdev1(1983)    -0.190104 -3.36766e-06
recdev1(1984)    0.0247241 -2.56492e-06
recdev1(1985)      0.13065 -1.85131e-06
recdev1(1986)    -0.423538 -2.84276e-06
recdev1(1987)    -0.284548 -2.24011e-06
recdev1(1988)     0.325915  1.10525e-06
recdev1(1989)    0.0048298 -4.47627e-07
recdev1(1990)    0.0501105  4.07648e-07
recdev1(1991)    -0.268457 -4.67454e-07
recdev1(1992)    -0.155906  7.49248e-07
recdev1(1993)  -0.00917413  2.42285e-06
recdev1(1994)   -0.0335033  2.82522e-06
recdev1(1995)    -0.106963  2.88596e-06
recdev1(1996)    -0.103314  3.83285e-06
recdev1(1997)   -0.0509952  4.56242e-06
recdev1(1998)     0.395609  1.04811e-05
recdev1(1999)     0.284342  9.17477e-06
recdev1(2000)   -0.0123535  5.12021e-06
recdev1(2001)   -0.0243399  4.98553e-06
recdev1(2002)    -0.330028  2.19361e-06
recdev1(2003)   -0.0636132  4.06588e-06
recdev1(2004)   -0.0705127  3.49202e-06
recdev1(2005)  -0.00309497   2.8181e-06
recdev1(2006)   -0.0100621  1.23876e-06
recdev1(2007)    0.0152919  2.97696e-07
recdev1(2008)     0.440855  1.64856e-06
recdev1(2009)    0.0870525 -1.09042e-06
recdev1(2010)     0.276867  -9.1007e-07
recdev1(2011)     0.162029 -2.19685e-06
recdev1(2012)    -0.120684 -3.12022e-06
recdev1(2013)     0.420172 -2.34535e-06
recdev1(2014)    0.0598124 -3.02804e-06
recdev1(2015)     0.262823 -3.46503e-06
Fcast_recruitments(2016)      0.26394  1.25103e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      75.0023 -8.14889e-07
selparm[2]     -1.67438 -1.44691e-08
selparm[3]    -0.643355 -4.49417e-09
selparm[4]       1.6768  7.31541e-10
selparm[7]      46.3578  8.21124e-06
selparm[9]       4.7143  1.89241e-10
selparm[10]      4.90543  8.11671e-06
selparm[12]     -10.6084  8.94503e-09
selparm[13]      62.7848  3.01613e-06
selparm[15]      3.25063 -4.53678e-07
selparm[16]      4.17523  6.44227e-07
selparm[19]      99.8709  3.65828e-07
selparm[20]     -2.75426  4.28693e-09
selparm[21]      4.66753 -1.45122e-07
