ParName   Value   Gradient
SR_parm[1]      10.0455  6.96513e-05
recdev1(1975)     0.162747  -1.9653e-06
recdev1(1976)     0.220712 -1.95811e-06
recdev1(1977)     0.559635 -1.90805e-06
recdev1(1978)     0.684688 -1.86712e-06
recdev1(1979)     0.242344 -1.89447e-06
recdev1(1980)     0.657171 -1.81726e-06
recdev1(1981)     0.213561  -1.8444e-06
recdev1(1982)     0.449276 -1.72224e-06
recdev1(1983)     0.224247 -1.68662e-06
recdev1(1984)      0.35842 -1.48595e-06
recdev1(1985)      0.36249 -1.32978e-06
recdev1(1986)   -0.0572503 -1.43033e-06
recdev1(1987)    -0.224491 -1.32261e-06
recdev1(1988)     -0.19108 -1.06505e-06
recdev1(1989)    -0.173715 -8.47342e-07
recdev1(1990)     -0.14867 -5.62786e-07
recdev1(1991)    -0.268062 -4.18877e-07
recdev1(1992)      -0.3119 -1.73008e-07
recdev1(1993)    0.0435677  1.08709e-06
recdev1(1994)    -0.268157  6.76944e-07
recdev1(1995)    -0.118191  1.58758e-06
recdev1(1996)    -0.156579  1.91741e-06
recdev1(1997)    -0.258509  1.85025e-06
recdev1(1998)    -0.452321  1.40495e-06
recdev1(1999)  -0.00244087  3.66986e-06
recdev1(2000)    0.0307774  3.95787e-06
recdev1(2001)    -0.333073  2.16221e-06
recdev1(2002)    -0.208256  2.72788e-06
recdev1(2003)    -0.342051  2.05125e-06
recdev1(2004)    -0.451784  1.59805e-06
recdev1(2005)    -0.366404  1.74599e-06
recdev1(2006)    -0.241743  1.75493e-06
recdev1(2007)    0.0936583  2.57174e-06
recdev1(2008)    -0.399017  2.81624e-07
recdev1(2009)    0.0156774  6.82328e-07
recdev1(2010)     0.103136  9.22569e-08
recdev1(2011)     -0.12664  -8.2458e-07
recdev1(2012)     0.280265 -8.17024e-07
recdev1(2013)    0.0920397 -1.33954e-06
recdev1(2014)     0.139296 -1.43574e-06
recdev1(2015)     0.166625  -1.5488e-06
Fcast_recruitments(2016)     0.409757  4.63723e-07
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      57.2779  8.99011e-07
selparm[2]     -1.98561  1.69598e-09
selparm[3]       1.7381 -9.93838e-08
selparm[4]      3.27741  1.46844e-09
selparm[7]      60.3291  4.63022e-07
selparm[9]    -0.987169 -5.99098e-09
selparm[10]    -0.984046 -2.36613e-09
selparm[12]    -0.896718  1.65235e-06
selparm[13]      62.5396  6.56909e-07
selparm[15]      3.40669 -1.11387e-07
selparm[16]      4.15629  1.36409e-07
selparm[19]      99.9007  1.68644e-07
selparm[20]     -2.96155  -7.0344e-09
selparm[21]      4.57735 -8.54536e-08
