ParName   Value   Gradient
SR_parm[1]      10.4401 -3.68249e-05
recdev1(1975)     0.888971   -6.869e-06
recdev1(1976)     0.452026 -1.68532e-05
recdev1(1977)     0.602471 -8.56391e-06
recdev1(1978)     0.836612 -6.90425e-06
recdev1(1979)     0.419241  1.22748e-07
recdev1(1980)     0.272487  1.87233e-06
recdev1(1981)     0.222117  1.70165e-06
recdev1(1982)    0.0458028  2.67638e-06
recdev1(1983)      0.20629  3.45008e-06
recdev1(1984)      0.50071  5.81957e-06
recdev1(1985)     0.259571  3.27877e-06
recdev1(1986)    -0.257559  3.25826e-06
recdev1(1987)    -0.239822  3.68204e-06
recdev1(1988)      0.39347  7.46808e-06
recdev1(1989)    0.0487179  5.97868e-06
recdev1(1990)    -0.551261  2.28599e-06
recdev1(1991)     0.472196  9.04716e-06
recdev1(1992)    -0.159422  6.15993e-06
recdev1(1993)     0.345057  9.79625e-06
recdev1(1994)    0.0234892  7.06509e-06
recdev1(1995)    -0.265358  5.07277e-06
recdev1(1996)     0.147356  8.19194e-06
recdev1(1997)    -0.275172  5.86031e-06
recdev1(1998)    0.0819493  7.27708e-06
recdev1(1999)    0.0900906  5.70271e-06
recdev1(2000)     0.184463  5.17992e-06
recdev1(2001)     -0.43826  3.58696e-06
recdev1(2002)     -0.57906  1.07891e-06
recdev1(2003)    -0.398266  1.22655e-06
recdev1(2004)    -0.184713 -7.54393e-07
recdev1(2005)    -0.333143 -2.43273e-06
recdev1(2006)    0.0395671 -4.17255e-06
recdev1(2007)    -0.157909 -5.48542e-06
recdev1(2008)    0.0703561 -1.01052e-05
recdev1(2009)    -0.371712 -6.22575e-06
recdev1(2010)    -0.348383 -5.74756e-06
recdev1(2011)   -0.0675783 -7.16147e-06
recdev1(2012)     -0.12232 -6.84675e-06
recdev1(2013)    -0.185523 -7.33751e-06
recdev1(2014)    -0.837512 -3.00269e-06
recdev1(2015)    -0.830039 -1.78472e-06
Fcast_recruitments(2016)     -1.20279 -3.08944e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      102.127 -8.31999e-06
selparm[2]    -0.350738    -5.09e-06
selparm[3]      6.56889  1.20748e-05
selparm[4]       4.1292  1.08811e-06
selparm[7]       76.599 -4.69261e-06
selparm[9]      5.50745  1.18079e-06
selparm[10]      3.55237 -1.23603e-06
selparm[12]     -1.13004 -5.76168e-06
selparm[13]      61.8816 -2.91463e-06
selparm[15]      3.57035  1.00445e-06
selparm[16]       4.1132  7.42043e-07
selparm[19]      98.0478  3.98024e-06
selparm[20]     -7.11542 -7.58338e-07
selparm[21]       4.5245 -2.37755e-06
